datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,전일_출력제한량,출력제한_변화율,전일_태양광,전일_풍력,출력비율,예측출력제한량
2022-03-10 14:00:00,16.725,0.0,3.75,58.25,1.0,2.82,215.49,52.72,499353.0,15.9,1,0.0,-212.67,14.0,10504.0,4131.333333333314,1,7.8,1.0384615251479294,233.0,52.19,0.0592819059471004,14.927856
2022-03-10 15:00:00,16.625,0.0,3.85,60.25,1.0,2.57,172.79,49.2,514082.0,0.4,1,0.1,-170.22,15.0,14729.0,-13320.666666666686,1,15.9,-0.974842761164511,215.49,52.72,0.0018018829668895,0.96301186
2022-03-12 11:00:00,19.8,0.0,4.55,66.75,1.0,2.305,217.04,38.15,477478.0,5.5,1,1.2249999999999996,-214.735,11.0,-34800.0,39985.0,1,0.0,55000000.0,187.08,62.38,0.0215525686658754,4.386569
2022-03-12 12:00:00,20.2,0.0,4.775,66.25,1.0,2.715,228.97,8.48,446506.0,66.2,1,0.2250000000000005,-226.255,12.0,-30972.0,32248.0,1,5.5,11.036363435702484,217.04,38.15,0.2787955357848829,67.06463
2022-03-12 13:00:00,20.675,0.0,4.675,64.75,1.0,2.91,229.33,6.27,424774.0,98.3,1,-0.1000000000000005,-226.42,13.0,-21732.0,24812.0,1,66.2,0.4848942590862624,228.97,8.48,0.4172325974459963,95.06411
2022-03-12 14:00:00,20.775,0.0,4.8,65.75,1.0,2.825,210.15,30.38,426265.0,98.8,1,0.125,-207.325,14.0,1491.0,6250.0,1,98.3,0.0050864699846526,229.33,6.27,0.4107595724397124,96.22747
2022-03-12 15:00:00,20.2,0.0,4.975,69.75,1.0,2.535,163.06,95.27,443034.0,72.3,1,0.1749999999999998,-160.525,15.0,16769.0,-11676.333333333314,1,98.8,-0.268218623210305,210.15,30.38,0.2798745789184862,67.917786
2022-03-12 16:00:00,19.875,0.0,5.15,68.25,1.0,2.005,87.45,132.65,481908.0,20.1,1,0.1750000000000007,-85.44500000000001,16.0,38874.0,-31505.66666666669,1,72.3,-0.721991700246208,163.06,95.27,0.0913221262647332,18.268843
2022-03-26 13:00:00,12.875,0.0,8.475,84.25,0.275,0.425,105.88,175.82,612997.0,15.3,1,-0.200000000000001,-105.455,13.0,-40445.0,31822.0,0,0.0,153000000.0,111.1,187.21,0.054313099022253,16.545504
2022-03-26 14:00:00,12.4,0.0,8.175,85.0,0.375,0.315,70.58,205.36,620164.0,22.2,1,-0.2999999999999989,-70.265,14.0,7167.0,8703.666666666628,0,15.3,0.4509803892092784,105.88,175.82,0.0804522722039384,21.574587
2022-03-27 12:00:00,16.975,0.0,3.575,36.5,1.0,2.995,192.55,3.81,397725.0,79.7,1,0.7000000000000002,-189.555,12.0,-29994.0,44286.333333333314,1,0.0,797000000.0000001,201.32,3.58,0.4058871458515547,81.978355
2022-03-27 13:00:00,17.625,0.0,3.875,37.75,1.0,3.25,172.01,3.14,402772.0,79.7,1,0.2999999999999998,-168.76,13.0,5047.0,6633.333333333314,1,79.7,0.0,192.55,3.81,0.4550385381358616,91.90148
2022-03-27 14:00:00,17.7,0.0,3.95,37.5,1.0,3.25,194.78,5.35,413486.0,79.7,1,0.0750000000000001,-191.53,14.0,10714.0,-8825.0,1,79.7,0.0,172.01,3.14,0.3982411430578918,75.17999
