datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,예측출력제한량
2022-03-12 13:00:00,20.675,0.0,4.675,64.75,1.0,2.91,229.33,6.27,424774.0,98.3,1,-0.1000000000000005,-226.42,13.0,-21732.0,24812.0,1,58.69779
2022-03-12 14:00:00,20.775,0.0,4.8,65.75,1.0,2.825,210.15,30.38,426265.0,98.8,1,0.125,-207.325,14.0,1491.0,6250.0,1,56.93368
2022-03-12 15:00:00,20.2,0.0,4.975,69.75,1.0,2.535,163.06,95.27,443034.0,72.3,1,0.1749999999999998,-160.525,15.0,16769.0,-11676.333333333314,1,46.789364
2022-03-12 16:00:00,19.875,0.0,5.15,68.25,1.0,2.005,87.45,132.65,481908.0,20.1,1,0.1750000000000007,-85.44500000000001,16.0,38874.0,-31505.66666666669,1,36.582226
2022-03-27 11:00:00,16.225,0.0,2.875,34.75,1.0,2.66,201.32,3.58,427719.0,0.0,0,0.1,-198.66,11.0,-72871.0,64702.333333333314,1,40.074154
2022-03-27 12:00:00,16.975,0.0,3.575,36.5,1.0,2.995,192.55,3.81,397725.0,79.7,1,0.7000000000000002,-189.555,12.0,-29994.0,44286.333333333314,1,51.685196
2022-03-27 13:00:00,17.625,0.0,3.875,37.75,1.0,3.25,172.01,3.14,402772.0,79.7,1,0.2999999999999998,-168.76,13.0,5047.0,6633.333333333314,1,55.375404
2022-03-27 14:00:00,17.7,0.0,3.95,37.5,1.0,3.25,194.78,5.35,413486.0,79.7,1,0.0750000000000001,-191.53,14.0,10714.0,-8825.0,1,58.472836
2022-03-27 15:00:00,17.95,0.0,4.6,35.75,1.0,2.805,168.44,32.2,417539.0,0.0,0,0.6499999999999995,-165.635,15.0,4053.0,-6273.333333333314,1,66.84258
2022-03-27 16:00:00,17.25,0.0,5.85,38.0,1.0,2.18,114.42,92.79,453555.0,0.0,0,1.25,-112.24,16.0,36016.0,-25361.66666666669,1,76.841324
2022-03-27 17:00:00,15.025,0.0,5.775,51.75,0.825,1.415,40.21,95.51,524644.0,0.0,0,-0.0749999999999992,-38.795,17.0,71089.0,-59398.0,1,56.344334
2022-03-29 11:00:00,15.475,0.0,4.225,57.75,1.0,2.73,236.12,8.09,520895.0,0.0,0,1.4999999999999996,-233.39,11.0,-48446.0,58579.0,1,55.786396
2022-03-29 12:00:00,15.075,0.0,3.9,60.5,1.0,3.13,245.93,5.43,491240.0,0.0,0,-0.3249999999999997,-242.8,12.0,-29655.0,35918.66666666663,1,49.547558
2022-03-29 13:00:00,15.8,0.0,4.525,60.25,1.0,3.255,245.62,13.75,460730.0,6.1,1,0.6250000000000004,-242.365,13.0,-30510.0,30225.0,1,60.538227
2022-03-29 14:00:00,16.25,0.0,4.7,64.75,1.0,3.14,227.31,29.91,467504.0,6.7,1,0.1749999999999998,-224.17,14.0,6774.0,5654.0,1,58.448414
